lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,Values
84990,,,,,,,,,,621.3
85020,84990,,,,,,,,,634.74
85050,85020,84990,,,,,,,,632.28
85080,85050,85020,84990,,,,,,,642.3
85110,85080,85050,85020,84990,,,,,,585.84
85140,85110,85080,85050,85020,84990,,,,,593.52
85170,85140,85110,85080,85050,85020,84990,,,,605.76
85200,85170,85140,85110,85080,85050,85020,84990,,,636.18
85230,85200,85170,85140,85110,85080,85050,85020,84990,,628.32
85260,85230,85200,85170,85140,85110,85080,85050,85020,84990,645.6
85290,85260,85230,85200,85170,85140,85110,85080,85050,85020,627.66
85320,85290,85260,85230,85200,85170,85140,85110,85080,85050,638.04
85350,85320,85290,85260,85230,85200,85170,85140,85110,85080,642.66
85380,85350,85320,85290,85260,85230,85200,85170,85140,85110,627.72
85410,85380,85350,85320,85290,85260,85230,85200,85170,85140,661.14
85440,85410,85380,85350,85320,85290,85260,85230,85200,85170,695.04
85470,85440,85410,85380,85350,85320,85290,85260,85230,85200,687.54
85500,85470,85440,85410,85380,85350,85320,85290,85260,85230,701.76
85530,85500,85470,85440,85410,85380,85350,85320,85290,85260,724.38
85560,85530,85500,85470,85440,85410,85380,85350,85320,85290,676.26
85590,85560,85530,85500,85470,85440,85410,85380,85350,85320,693.9
85620,85590,85560,85530,85500,85470,85440,85410,85380,85350,711.84
85650,85620,85590,85560,85530,85500,85470,85440,85410,85380,711
85680,85650,85620,85590,85560,85530,85500,85470,85440,85410,704.7
85710,85680,85650,85620,85590,85560,85530,85500,85470,85440,695.46
85740,85710,85680,85650,85620,85590,85560,85530,85500,85470,746.76
85770,85740,85710,85680,85650,85620,85590,85560,85530,85500,760.98
85800,85770,85740,85710,85680,85650,85620,85590,85560,85530,742.98
85830,85800,85770,85740,85710,85680,85650,85620,85590,85560,720.48
85860,85830,85800,85770,85740,85710,85680,85650,85620,85590,705.42
85890,85860,85830,85800,85770,85740,85710,85680,85650,85620,738.12
85920,85890,85860,85830,85800,85770,85740,85710,85680,85650,734.82
85950,85920,85890,85860,85830,85800,85770,85740,85710,85680,712.74
85980,85950,85920,85890,85860,85830,85800,85770,85740,85710,726.96
86010,85980,85950,85920,85890,85860,85830,85800,85770,85740,721.14
86040,86010,85980,85950,85920,85890,85860,85830,85800,85770,695.94
86070,86040,86010,85980,85950,85920,85890,85860,85830,85800,676.5
86100,86070,86040,86010,85980,85950,85920,85890,85860,85830,672.78
86130,86100,86070,86040,86010,85980,85950,85920,85890,85860,698.22
86160,86130,86100,86070,86040,86010,85980,85950,85920,85890,658.92
86190,86160,86130,86100,86070,86040,86010,85980,85950,85920,651.24
86220,86190,86160,86130,86100,86070,86040,86010,85980,85950,634.2
86250,86220,86190,86160,86130,86100,86070,86040,86010,85980,640.44
86280,86250,86220,86190,86160,86130,86100,86070,86040,86010,622.2
86310,86280,86250,86220,86190,86160,86130,86100,86070,86040,618.48
86340,86310,86280,86250,86220,86190,86160,86130,86100,86070,617.1
86370,86340,86310,86280,86250,86220,86190,86160,86130,86100,624.06
86400,86370,86340,86310,86280,86250,86220,86190,86160,86130,587.88
86430,86400,86370,86340,86310,86280,86250,86220,86190,86160,630.48
86460,86430,86400,86370,86340,86310,86280,86250,86220,86190,612.3
86490,86460,86430,86400,86370,86340,86310,86280,86250,86220,619.68
86520,86490,86460,86430,86400,86370,86340,86310,86280,86250,594.06
86550,86520,86490,86460,86430,86400,86370,86340,86310,86280,598.62
86580,86550,86520,86490,86460,86430,86400,86370,86340,86310,550.08
86610,86580,86550,86520,86490,86460,86430,86400,86370,86340,569.76
86640,86610,86580,86550,86520,86490,86460,86430,86400,86370,654.18
86670,86640,86610,86580,86550,86520,86490,86460,86430,86400,669.6
86700,86670,86640,86610,86580,86550,86520,86490,86460,86430,637.68
86730,86700,86670,86640,86610,86580,86550,86520,86490,86460,642.78
86760,86730,86700,86670,86640,86610,86580,86550,86520,86490,624.36
86790,86760,86730,86700,86670,86640,86610,86580,86550,86520,616.44
86820,86790,86760,86730,86700,86670,86640,86610,86580,86550,632.04
86850,86820,86790,86760,86730,86700,86670,86640,86610,86580,676.38
86880,86850,86820,86790,86760,86730,86700,86670,86640,86610,664.92
86910,86880,86850,86820,86790,86760,86730,86700,86670,86640,694.26
